zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60455,4.2148,4.7018,2.485,1.7952,5.8868,0.7421,0.8297,4.2079,1.8415,0.5853,0.8405,1.2922
60456,0.7565,2.5915,0.7849,0.8521,1.812,1.7128,0.4701,0.6913,1.1894,0.6856,1.0163,0.7759
60457,3.6407,3.8173,2.5913,2.6343,6.7949,2.212,0.6482,4.9634,1.8624,0.5519,1.7527,1.4744
60458,4.2509,5.4942,3.7442,0.9908,7.2948,1.4223,0.7824,5.6303,3.0232,0.1419,0.68,0.2374
60459,2.5004,4.1989,2.2578,2.219,3.9154,2.0958,0.2996,2.4709,2.045,0.2421,0.2483,1.3089
60462,1.3528,3.8287,1.9259,1.2044,9.934,3.9598,1.0326,8.4333,1.4861,1.5286,5.4695,3.1761
60463,1.2054,0.958,0.9938,1.6863,6.623,6.0208,1.1368,5.1228,3.9428,2.5484,5.2816,3.2275
60464,3.1445,3.4279,2.5848,3.2492,9.6238,6.8336,2.07,7.8376,4.4949,1.5619,3.7069,3.2341
60465,2.0728,2.3391,1.6202,4.4433,7.1122,3.9113,1.1529,5.2457,2.2945,0.996,3.5505,0.2288
60466,2.6213,2.2858,6.5771,0.9869,1.4054,4.6803,0.6983,4.2895,7.1323,7.8531,13.4485,9.5666
60467,0.9285,6.899,0.9344,2.0242,10.4914,5.0679,2.432,10.5379,3.6926,3.3113,4.0627,5.2855
60468,12.3435,7.3787,15.2291,0.6092,12.0991,4.1724,9.8347,15.3965,9.4527,15.0519,22.6257,17.7267
60469,1.4806,1.9191,1.9037,2.7955,5.7115,6.838,1.5271,4.8267,5.7486,2.0015,5.2691,1.2196
60471,1.7371,4.3679,7.4294,1.143,1.7855,7.2876,1.2925,6.8845,5.5229,6.0861,14.52,8.3016
60472,0.5683,3.4567,3.4412,2.8606,5.7648,6.6504,1.6464,5.1598,5.2254,0.9302,5.1894,1.3612
60475,2.5108,2.7858,7.1773,1.9344,4.1617,1.8459,1.6191,2.0109,5.2712,5.8027,13.2147,11.2642
60477,1.1124,6.3548,4.7787,1.1176,7.0908,0.4582,1.6187,10.6695,1.7731,1.3269,9.2036,1.3921
60478,1.5924,3.2001,3.2458,1.198,5.0681,3.8271,0.7357,7.8893,3.6523,3.778,9.5428,3.8643
60480,2.0431,5.7446,4.912,3.479,9.529,4.1352,2.6232,7.7105,4.602,2.6241,3.3883,1.9991
60481,14.1905,16.806,14.661,1.9261,2.5935,0.9366,8.0897,16.9901,16.8662,1.6566,27.2239,17.7763
60482,1.0549,0.9361,0.9269,3.461,5.5894,4.5923,1.5249,3.8431,2.1187,1.6727,4.1064,1.4698
60490,3.4318,8.4261,5.8508,1.446,9.5243,1.7166,1.0401,2.724,4.0476,2.3466,4.119,2.7823
60501,3.4618,6.6036,3.9549,1.2299,7.542,2.0664,0.2466,4.0942,3.2817,0.625,1.5806,2.4064
60504,1.0347,3.93,3.9178,3.8668,7.6491,6.0245,0.5842,1.6525,0.732,1.8991,7.0845,0.6984
60505,2.9522,0.8461,0.8374,2.3602,6.5283,2.9182,1.3971,2.2055,2.2052,0.5007,3.9578,2.7119
60506,3.1644,3.0972,2.2527,1.2827,8.2023,1.9333,0.9376,0.7533,1.6712,2.7127,1.5398,1.6874
60510,2.393,4.7842,4.0118,4.629,2.4332,4.2266,3.8143,6.7134,3.4549,2.125,4.829,5.5418
60513,0.7328,4.2008,2.3052,0.3498,10.2894,4.7589,0.9298,2.8263,2.5366,0.9857,2.8803,0.2698
60514,1.5049,2.7695,1.213,1.5155,14.2834,6.3264,2.0841,8.8223,5.1207,1.5175,4.8301,3.744
60515,0.3487,1.098,3.6205,1.6757,12.667,3.6231,1.054,6.1418,2.2511,0.6515,3.4339,1.3856
60516,2.3464,1.4159,4.7311,2.6273,14.3518,5.35,0.9688,5.5481,2.3445,2.4221,1.24,3.3747
60517,3.9232,1.8278,5.1978,3.4608,13.6541,5.3261,2.0398,4.2334,0.6779,0.4995,1.3347,2.5767
60520,13.0803,18.2039,13.3741,2.8432,6.0439,2.648,3.8288,9.974,11.29,7.8263,15.1865,16.509
60521,0.5868,4.2293,1.572,0.4814,13.0166,6.442,3.252,7.3671,6.5021,0.6305,6.2291,3.8188
60523,1.2612,4.0383,1.6037,2.7053,14.2763,3.6064,3.0589,7.1502,3.8323,2.1558,3.871,1.0122
60525,1.2746,7.1331,4.7975,0.513,9.7474,3.8396,1.0252,5.2391,4.9377,1.3853,3.4236,1.9179
60526,1.1628,4.0987,2.1922,1.8264,11.6831,4.7315,0.9276,4.1276,3.8647,0.7965,4.1051,1.2564
60532,1.423,2.8369,3.5422,2.0144,10.1552,1.4386,1.9902,2.9666,1.859,0.6742,3.2487,1.7372
60534,1.5782,4.614,2.0328,1.1861,8.8174,3.3414,0.5318,2.1032,1.8074,0.6509,2.2681,0.484
60538,5.6585,4.4455,2.8805,1.5944,10.4954,4.5734,1.3963,2.9147,2.3465,0.9484,4.5198,1.993
60540,0.2813,3.7932,0.6726,5.5112,8.7635,2.9566,1.3825,1.2922,0.7701,0.3594,5.5637,3.4515
60543,6.4665,7.4717,6.1559,2.5317,13.5204,7.3314,1.7217,4.8675,2.5798,3.4377,8.6999,5.7896
60544,5.7744,6.9739,7.017,1.1332,8.5485,0.896,3.1389,3.1758,3.6137,4.5633,9.1631,5.8107
60545,13.8253,13.6237,4.1994,2.5645,15.4135,6.9714,1.7361,10.0236,11.6526,8.3447,11.7188,11.187
60546,1.1882,3.3887,1.5771,1.3728,10.0174,4.4084,0.4828,1.4091,1.1904,0.6662,1.3532,1.7094
60548,19.1927,19.1198,9.1647,1.6663,14.7171,7.0944,3.1867,15.445,16.95,13.5616,17.0403,16.7062
60554,6.9805,7.783,6.7946,3.6082,8.7729,5.983,4.0829,4.1326,4.6673,4.4868,4.8378,6.2303
60555,1.982,1.9793,2.0049,6.1522,4.7482,1.8912,1.5659,2.0693,3.3534,1.1361,5.7569,5.5445
